iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, yshimomura, 250, 2020-09-06T05:09:38+00:00, 14, 3, WIN
1, yshimomura, 250, 2020-09-06T05:14:57+00:00, 13, 2, WIN
2, yshimomura, 250, 2020-09-06T05:20:16+00:00, 13, 1, WIN
3, yshimomura, 250, 2020-09-06T05:25:35+00:00, 12, 1, WIN
4, yshimomura, 250, 2020-09-06T05:30:54+00:00, 14, 2, WIN
5, yshimomura, 250, 2020-09-06T05:36:14+00:00, 5, 4, WIN
6, yshimomura, 250, 2020-09-06T05:41:32+00:00, 16, 3, WIN
7, yshimomura, 250, 2020-09-06T05:46:51+00:00, 11, 1, WIN
8, yshimomura, 250, 2020-09-06T05:52:11+00:00, 12, 2, WIN
9, yshimomura, 250, 2020-09-06T05:57:30+00:00, 7, 3, WIN
10, yshimomura, 250, 2020-09-06T06:02:49+00:00, 17, 3, WIN
11, yshimomura, 250, 2020-09-06T06:08:08+00:00, 15, 2, WIN
12, yshimomura, 250, 2020-09-06T06:13:27+00:00, 16, 5, WIN
13, yshimomura, 250, 2020-09-06T06:18:48+00:00, 12, 2, WIN
14, yshimomura, 250, 2020-09-06T06:24:08+00:00, 14, 2, WIN
15, yshimomura, 250, 2020-09-06T06:29:27+00:00, 14, 2, WIN
16, yshimomura, 250, 2020-09-06T06:34:46+00:00, 12, 2, WIN
17, yshimomura, 250, 2020-09-06T06:40:05+00:00, 15, 3, WIN
18, yshimomura, 250, 2020-09-06T06:45:24+00:00, 10, 1, WIN
19, yshimomura, 250, 2020-09-06T06:50:44+00:00, 17, 3, WIN
