iteration, enemy_name, game_time(s), date, my_score, enemy_score, battle_result
0, naoyayosinaga, 250, 2020-08-27T13:18:32+00:00, 13, 3, WIN
1, naoyayosinaga, 250, 2020-08-27T13:23:52+00:00, 9, 0, WIN
2, naoyayosinaga, 250, 2020-08-27T13:29:12+00:00, 15, 14, WIN
3, naoyayosinaga, 250, 2020-08-27T13:34:33+00:00, 14, 3, WIN
4, naoyayosinaga, 250, 2020-08-27T13:39:53+00:00, 14, 4, WIN
5, naoyayosinaga, 250, 2020-08-27T13:45:13+00:00, 17, 6, WIN
6, naoyayosinaga, 250, 2020-08-27T13:50:34+00:00, 9, 5, WIN
7, naoyayosinaga, 250, 2020-08-27T13:55:54+00:00, 16, 6, WIN
8, naoyayosinaga, 250, 2020-08-27T14:01:14+00:00, 13, 3, WIN
9, naoyayosinaga, 250, 2020-08-27T14:06:35+00:00, 11, 1, WIN
10, naoyayosinaga, 250, 2020-08-27T14:11:55+00:00, 12, 2, WIN
11, naoyayosinaga, 250, 2020-08-27T14:17:16+00:00, 12, 2, WIN
12, naoyayosinaga, 250, 2020-08-27T14:22:36+00:00, 9, 6, WIN
13, naoyayosinaga, 250, 2020-08-27T14:27:56+00:00, 9, 5, WIN
14, naoyayosinaga, 250, 2020-08-27T14:33:16+00:00, 10, 8, WIN
